CLUE,ANS,POS,FOUND IN
Stingy hoarder ,miser,3,Miserly
Fit out ,equip,1,Fully equipped
Christian body noted for social work and bands ,salvation,1,Salvation Army (known for both charity and music)
Hitchcock's speciality ,suspense,1,Suspense-building
Mail ,letters,16,Registered letters
One eighth of a gallon ,pint,4,Half pint
Diddly-squat ,zilch,9,"Nada, zilch, zip (slang)"
Abundant in fruit etc ,prolific,20,Prolific in fruits
"Speak indistinctly, as a drunk might ",slur,2,Slurred speech
Wholly engrossed ,absorbed,1,Completely absorbed
Of little weight ,light,6,Lightweight
Building with many storeys,high-rise,3,High-rise structure
Commercial vehicle ,van,6,Boxer van
