CLUE,ANS,POS
Sloping - likely ,inclined,2
Insinuate ,imply,2
"Exposed, revealed ",uncovered,1
Unit of power ,watt,1
Large ox ,yak,17
Flying horse of myth ,pegasus,1
"Tiny organisms, can be good or bad ",bacteria,1
Beam over a doorway,lintel,1
Usher in ,introduce,1
Deep regret ,remorse,2
Hindu sage or saint ,rishi,6
Not fully developed ,immature,1
Incompetent or awkward ,inept,5
Personal teacher ,tutor,2
French port ,le havre,11
Gain knowledge ,learn,1
Frightened ,scared,2
"Refuse, litter ",rubbish,3
White coloured,chalky,7
US horse race,kentucky derby,1
