CLUE,ANS,POS,FOUND IN
Severe flood ,deluge,7,Torrential deluge
Blind guess,shot in the dark,12,A shot in the dark
Explosive - pit ,mine,20,Explosive remnant of warfare (when referring to landmines in a pit context).
Thick liquid that doesn't dissolve in water ,oil,7,Oil and water (as an example of immiscibility)
Underworld ,hell,15,Hellish realm
Tear into scraps ,shred,1,Shredded remnants
Skilled Himalayan mountaineer ,sherpa,7,Sherpa prowess
Riding trousers ,breeches,4,Breeches on the move
Standard ,norm,1,Normative
Brazilian tree or its wax ,carnauba,1,"Carnauba: A type of palm native to Brazil, renowned for producing a hard, glossy wax used in various industries such as cosmetics and polishes."
"Wheedle, coax ",cajole,2,Cajole subtly
Myths ,legends,20,Mythical legends associated with specific geographic locations or cultures
Moon feature ,crater,1,Lunar crater
