CLUE,ANS,POS,FOUND IN
Welsh dog ,corgi,1,"Corgi - A popular and well-known breed originating from Wales, known for their compact size and distinct long body."
Row with two oars,scull,1,Sculling
On the exterior ,outside,7,"Edge - The outside, border, or extremity of an object; on the exterior, refers to its boundary."
Secretly follow ,tail,4,Tailgater (in the context of driving)
Tennis bat ,racquet,3,Forehand - It's one of the basic strokes in tennis involving swinging the racquet across oneself with the dominant hand.
Handcart that holds groceries etc while shopping,trolley,2,Shopping trolley
Unsightly ,ugly,7,Ugly - lacking good qualities or aesthetics; unpleasant to look at.
Hand tool,spanner,9,Adjustable Spanner (Wrench)
Young sheep ,lamb,1,"Lamb - A young sheep, typically less than one year old."
Honey producer ,bee,1,Beekeeper - A person who keeps bees in order to collect honey and other products like wax.
'Little Orphan . . . . .' ,annie,6,"Annie - Commonly associated with the character from ""Annie"" (musical) who was an orphan."
Small tube inserted into the body to give medication ,cannula,2,Intravenous (IV) cannula
