CLUE,ANS,POS
Large wild American feline,puma,2
Storyline or piece of land ,plot,8
Present in great quantity ,abundant,1
Formerly British Honduras ,belize,1
Hatred ,enmity,1
Treeless plain ,steppe,10
The Planets composer ,holst,2
The Three Wise Men ,magi,1
A bicycle made for two ,tandem,1
Flat piece of ceramic,tile,2
Place for public Jewish worship ,synagogue,1
Part of shirt ,collar,2
Entry into foreign country to conquer it ,invasion,1
Something that motivates ,incentive,1
Large wading bird ,ibis,7
Crystalline carbohydrate ,sugar,1
Too big ,overlarge,9
Sikh headgear ,turban,1
Complete set of genetic material of an organism ,genome,1
Disaster ,fiasco,7
Gentle ,mild,1
