CLUE,ANS,POS
Small barrels as for beer ,kegs,1
Insect drawn to flame ,moth,1
Assembly for discussion ,conference,4
Coniferous tree ,larch,5
Salt water expanse,ocean,2
Puts forward for consideration ,suggests,2
Home made of blocks of snow ,igloo,1
Unique designation in radio communications ,call sign,1
Creator of ceramics ,potter,1
Merciful ,lenient,6
Detailed examination ,analysis,3
Precipitous ,steep,1
Shout of approval,bravo,3
String quartet instrument,cello,4
"TV's USS Enterprise, for instance ",starship,1
Short journey to carry a message ,errand,5
He's not involved - just observing ,onlooker,3
Falsehood ,untruth,5
