CLUE,ANS,POS
Famous person (sl.) ,celeb,3
Interference ,meddling,5
Melt ,dissolve,1
Operatic ego ,diva,1
Acquiring skill or knowledge ,learning,1
Calif. university; Irish philosopher ,berkeley,2
Walked about in a preoccupied or frustrated way ,paced,1
Hand tools for scooping ,trowels,2
Conservatives ,tories,2
That man's ,his,2
North African capital ,tunis,2
Leave out or neglect ,omit,8
Writer (before printing was developed),scribe,1
"Last, final or extreme ",ultimate,1
Aggressive masculine pride ,machismo,1
Pupil - erudite person ,scholar,1
Fraud ,deceit,2
Low in price ,cheap,1
Buttocks,backside,1
The witching hour ,midnight,1
Encourage ,urge,3
Bomb fragments,shrapnel,1
Attack ,raid,2
Atom cores ,nuclei,3
Give fresh life to ,renew,3
Sea duck with soft down ,eider,1
German name for Aix-la-Chapelle ,aachen,1
Cairo landmarks ,pyramids,1
Venom ,poison,1
