CLUE,ANS,POS
Aviator ,pilot,1
Intermediate ,in-between,6
Hungarian composer ,liszt,3
Vehicle for pulling others ,tractor,1
"Inordinate, unreasonable ",excessive,1
A brainwave?,idea,2
Officials to ensure fair play ,referees,2
Italian wine ,chianti,1
"Disdain, disrespect ",contempt,2
Unique,one-off,12
Antagonistic ,hostile,2
Person's appearance or manner ,mien,5
Imaginary horses ,unicorns,1
Backhander,bribe,1
Blow air through (grain) to remove chaff ,winnow,2
Hard iron alloy ,steel,1
Track performer ,athlete,1
