CLUE,ANS,POS
Proportion of one thing to another ,ratio,1
Hamlet's mother ,gertrude,1
Heavenly,celestial,3
Loose casual trousers,slacks,1
Gross mistake,blunder,1
Interlace strands of material ,weave,2
Lacking in excitement ,mundane,3
John ...... wrote ` `The Pilgrim's Progress'' ,bunyan,3
Not guilty ,innocent,1
Without anxiety or responsibilities ,carefree,1
Put back together again ,reassembled,1
Royal insignia ,regalia,5
Covert ,stealthy,3
Discourage ,deter,1
Former name for Sri Lanka ,ceylon,1
Comedian ,comic,5
