CLUE,ANS,POS,FOUND IN
At high speed ,fast,4,Fast-moving
Seesaw,teeter,1,Teeter-totter
Exclamation from Archimedes ,eureka,1,Eureka! (often considered the greatest exclamation of all time)
Medicine given for its psychological benefit alone,placebo,1,Placebo effect
Contentious point ,issue,2,Polarizing issue
Sealed so as to be airtight,hermetic,1,Hermetically sealed
Settle ,solve,1,Resolve
Disband troops ,demob,11,Demobilize the army
Said or did again ,iterated,1,Reiterated
Took to be the case ,assumed,1,Assumed to be true
A case or example of something ,instance,1,Prototypical instance
