CLUE,ANS,POS,FOUND IN
Celestial body ,star,3,Galaxy: vast systems comprising billions of stars bound together by gravity
"Like oxygen, neon, etc ",gaseous,14,Gaseous state of both oxygen and neon at standard conditions
Period (of enchantment?),spell,13,Spellbounding time
Banknote; beak ,bill,1,Currency bill with a bird's head or beak emblem
1987 Best Actress Oscar winner for 'Moonstruck' ,cher,1,Cher: Moonstruck starlet
Ball game ,hockey,10,Hockey (Ice or Field)
"Cringing, fawning ",servile,14,Servile subservience
"Of skin, yellowish in colour ",sallow,3,Sallow appearance
Country bumpkin ,yokel,11,"Yokel (slang, often used playfully or teasingly)"
Statement of money owed,invoice,15,Outstanding invoice
Swimming stroke ,crawl,8,Prone stroke (similar to the front crawl when done without proper technique)
Small narrow river ,stream,2,Streamlet
Sacred beetle ,scarab,3,Divine scarab
Bird of prey ,eagle,10,"Predatory raptor (such as eagles, hawks)"
In favour of ,pro,2,"Promoting: Supporting, advocating for something that leads to an overall improvement or advantage."
Push lips out as sign of annoyance ,pout,1,Pouting
Small mark ,dot,1,Tiny dot
