CLUE,ANS,POS
Knight's title,sir,1
Projectile from bow ,arrow,1
Alcohol for the trifle ,sherry,9
Stems of asparagus as weapons ,spears,1
Continuous record of events in order of time ,chronicle,1
Lasting ,durable,4
Tool for cutting grass with blade on long pole ,scythe,1
Agricultural complex ,ranch,9
Culmination,climax,3
Revolver missile ,bullet,5
Goddess of retribution ,nemesis,10
Military encirclement ,siege,7
One who weeps easily without good cause ,crybaby,1
Stole ,purloined,12
Short-long metrical foot ,iamb,13
Tropical fruit ,mango,1
Book by Defoe,moll flanders,2
Area with frozen subsoil ,tundra,5
"Eg, a chemist ",scientist,5
Involving death ,fatal,1
