CLUE,ANS,POS,FOUND IN
At the back of a ship,aft,3,Stern (5) – The rear part or afterpart of a ship.
Fermenting grape juice ,must,2,Must (unfermented grape juice)
Imbibes,drinks,2,Drinks (noun)
Course to be taken by an aircraft ,vector,13,Vectoring route
Testament or determination ,will,1,Willpower
Female sheep ,ewe,1,"A female sheep, or ""ewe,"" fits the definition provided in the crossword clue"
Greek teller of animal tales with a moral ,aesop,1,"Aesop was an ancient Greek fabulist or storyteller credited with a number of fables now collectively known as Aesop's Fables, including ""The Tortoise and the Hare"" and ""The Boy Who Cried Wolf."""
Deuce ,two,2,"Twos in card games, particularly bridge and its variants"
Whisper,murmur,3,Murmur quietly (7 letters) – HUSHPER
Thatcher's PM decade ,eighties,1,"Eighties (the time period in question, as Margaret Thatcher was Prime Minister from 1979 to 1990)"
Subdue by greater strength or numbers ,overpower,12,Annihilated (strong form of overpowered)
Peter Pan author ,barrie,1,"Barrie, the Scottish novelist and playwright who created the character Peter Pan."
