CLUE,ANS,POS,FOUND IN
Eggs ,ova,1,Oval-shaped objects
Untidy state ,mess,2,Messy
(Fiery) Hell,inferno,1,Inferno-like conditions
Walking in water ,paddling,4,Paddling across a body of water
Particle ,atom,1,Subatomic
Branch of mathematics ,trigonometry,4,"Trigonometry: Studies relationships involving lengths and angles of triangles, particularly right-angited triangles, including sine, cosine, and tangent functions."
German airship,zeppelin,2,Zeppelin GmbH
Having no deviations ,straight,18,Straightforward progression
Geometrical solid,cube,8,"Cube-like shape with six faces that are all squares, but the angles between them may not be right angles"
Rodent related to the guinea pig ,agouti,4,"Pacas: This rodent shares a similar dietary profile to guinea pigs but is from a different family, Agoutilinae"
Dutch painter renowned for his use of light ,vermeer,1,Johannes Vermeer
Trembling poplar ,aspen,1,Quaking aspen
''Old soldiers ..... ...'' ,never die,1,Old soldiers never die; they just fade away.
Crack ,split,17,Splitting of opinions (used metaphorically)
Moving about ,roaming,4,Roaming freely
A Mexican river ,rio,1,Rio Grande
Silver medal position,second,1,Second-place finisher
