CLUE,ANS,POS,FOUND IN
Branch of technology including aviation ,aerospace,3,Aerospace Technology
Principles on which practices are based ,theories,12,"Ethical theories (e.g., Kantian ethics, Aristotelian virtue ethics)"
Church robe ,vestment,1,Ecclesiastical vestment
Gawp ,stare,4,Bewildered stare
Disdainful ,haughty,20,Haughty posture
"Of a period of government, such as in Britain 1811-1820",regency,2,"Regency Era (before and after 1811, with a focus on Prince Regent's rule due to King George III's incapacity)"
Unmarriied state for religious reasons ,celibacy,15,Religiously dedicated to celibacy
Bring charge against ,accuse,11,Defendant (respondent or accused party)
Line of rotation ,axis,2,Spin axis
Perpendicular ,vertical,11,Hanging vertically (in context)
Container for beer etc ,barrel,20,Fermentation barrel
Chemical indicator ,litmus,1,Litmus paper
