CLUE,ANS,POS,FOUND IN
Arduous walk,trek,3,Difficult trek
Dexterity ,skill,2,Skillful
Italian city (with two gentlemen),verona,13,Verona (home to an ancient university)
Old London prison ,newgate,2,Newgate Prison
Old song 'Auld . . . . Syne' ,lang,18,"The advent of HTML as a standard markup language facilitated the creation and sharing of content online, fostering unprecedented levels of global connectivity and collaboration."
Russian city and ballet company ,kirov,4,"Kirov Ballet (also not purely Russian, associated with the Mariinsky Theatre)"
Be exceptionally good ,excel,3,Excellent
High quality brandy,cognac,1,Pure potable cognac
Not in fashion ,out,1,Outdated
Small crude shelter ,hut,1,Rough hut
"Surgical thread, seam ",suture,1,Stitching suture
By the sea ,coastal,1,Coastal town
Device to reduce vibrations ,shock absorber,2,Shock absorbers
Breadwinner ,earner,3,Primary earner
Deliberate ,conscious,6,Consciously made
