CLUE,ANS,OUTPUT
Dessert ,sorbet,"['Pastry', 'Cake', 'Pie', 'Ice cream', 'Pudding', 'Mousse', 'Gelato', 'Brownie', 'Tart', 'Mousse cake', 'Crème brûlée', 'Funnel cake', 'Fruit dessert', 'Chocolate dessert', 'Apple pie', 'Carrot cake', 'Crème caramel', 'Tiramisu', 'Mousse au chocolate', 'Jelly']"
Irish lakes or arms of the sea ,loughs,"['Lough', 'Loch', 'Lake', 'Reservoir', 'Basin', 'Pond', 'Swamp', 'Lagoon', 'Tarn', 'Brocade', 'Mirror lake', 'Watering hole', 'Bays', 'Straits', 'Embayment', 'Gut', 'Inlet', 'Fjord', 'Wicket', 'Stretch of water']"
Time period(s) ,days,"['Era', 'Epoch', 'Age', 'Period', 'Dynasty', 'Eradication', 'Genesis', 'Reformation', 'Renaissance', 'Age of Exploration', 'Victorian era', 'Middle Ages', 'Modern era', 'Prehistory', 'Neolithic era', 'Stone Age', 'Bronze Age', 'Iron Age', 'Dark Ages', 'Medieval period']"
Be cautious (of) ,beware,"['Aware', 'Cautious', 'Wary', 'Careful', 'Precautious', 'Suspicious', 'Alert', 'Vigilant', 'Aware of potential risk', 'Mindful of consequences', 'Apprehensive', 'Fearful of the outcome', 'Dangerously poised', 'Potential for trouble', 'Risk of harm', ""Hedging one's bets"", 'Expecting negative results', 'Prepared for problems', 'Anticipating complications', 'Aware of risks involved']"
Secret plot; clique ,cabal,"['Conspiracy', 'Scheme', 'Plot twist', 'Covert operation', 'Secret society', 'Clique formation', 'Whispering campaign', 'Backstage deal', 'Hidden agenda', 'Private arrangement', 'Underground network', 'Shadowy dealings', 'Co-conspirators', 'Hidden motive', 'Secret meeting', 'Private treaty', 'Confidential agreement', 'Under-the-table exchange', 'Covert influence', 'Whispers in the dark']"
Blind guess,shot in the dark,"['Visionless', 'Unaware', 'Unsighted', 'Oblivious', 'Darkened', 'Hidden', 'Concealed', 'Escaped', 'Unsuspecting', 'Blind spot', 'Unperceiving', 'Foggy mind', 'Dim-witted', 'Unaware of surroundings', 'Lacking sight', 'Darkened room', 'Shadowy figure', 'Mystery unsolved', 'Hidden treasure', 'Blind date']"
Explosive - pit ,mine,"['Volcanic', 'Bombastic', 'Pyrotechnic', 'Infernal', 'Detonated', 'Flashbang', 'Lava-like', 'Mind-blowing', 'Mind-boggling', 'Dramatic', 'Explosive growth', 'Explosion of colors', 'Boom and bust', 'High-energy', 'Energetic', 'Powerful', 'Volatile', 'Dynamic', 'Cacophonous', 'Mind-shattering']"
Solvers of practical problems using scientific knowledge ,engineers,"['Engineer** - Skilled in designing and building structures or machines.', 'Architect** - Designs buildings and other structures.', 'Scientist** - Someone who investigates and discovers new knowledge.', 'Physician** - Trained to diagnose and treat medical conditions.', 'Mathematician** - Skilled in the science of numbers and their properties.', 'Inventor** - Creates new products or technologies.', 'Entrepreneur** - Starts and runs a business.', 'Data Scientist** - Analyzes and interprets data to make informed decisions.', 'Software Engineer** - Develops and maintains computer programs and systems.', 'Urban Planner** - Designs and manages urban areas.', 'Biologist** - Studies living things.', 'Geneticist** - Studies genes and their role in health.', 'Zoologist** - Studies animals.', 'Ecologist** - Studies the interactions between living things and their environment.', 'Agronomist** - Studies the cultivation of plants for food or other purposes.', 'Toxicologist** - Studies the effects of harmful substances on living things.', 'Anthropologist** - Studies human behavior and culture.', ""Climatologist** - Studies the Earth's climate system."", 'Statistician** - Analyzes and interprets data.', 'Demographer** - Studies the characteristics of human populations.']"
Rare ,uncommon,"['Curious', 'Mysterious', 'Hidden', 'Secret', 'Strange', 'Odd', 'Enigmatic', 'Unconventional', 'Unfamiliar', 'Exotic', 'Hidden treasure', 'Inconceivable', 'Unfathomable', 'Enigmatic', 'Mystifying', 'Wondrous', 'Unsolved', 'Unexplained', 'Unconventional', 'Outlandish']"
Underworld ,hell,"['Hades', 'Tartarus', 'Limbo', 'Netherworld', 'Abyss', 'Underworld realm', 'Depths', 'Shadowlands', 'Barren lands', 'Hollow earth', 'Ghostly realm', 'The underworld', 'Underworld creatures', ""Hades' realm"", 'Land of shadows', 'Place of darkness', 'Underworld journey', 'Descent to the underworld', 'Infernal realm', 'Place of eternal darkness']"
Empty talk ,hot air,"['Frivolous', 'Superficial', 'Baseless', 'Hollow', 'Meaningless', 'Unimportant', 'Pointless', 'Empty promises', 'Unsubstantiated', 'Frivolous statement', 'Empty rhetoric', 'Hollow words', 'Superficial conversation', 'Lacking depth', 'Pointless debate', 'Empty vessel', 'Unfounded claim', 'Hollow laughter', 'Frivolous pursuit', 'Meaningless gesture']"
Skilled Himalayan mountaineer ,sherpa,"['Lama', 'Mountaineer', 'Climber', 'Trekker', 'Ascender', 'Hillwalker', 'Peakbagger', 'Expeditor', 'Adventurer', 'Himalayan guide', 'Mountaineering hero', 'Everest conqueror', 'Snow Leopard tracker', 'Altitude specialist', 'Mountain climber', 'Risk-taker', 'Gearhead', 'Wilderness survivor', 'Nature lover', 'Extreme athlete']"
Deadens ,numbs,"['Numbness', 'Insensibility', 'Sedation', 'Tranquility', 'Torpor', 'Dullness', 'Listlessness', 'Lethargy', 'Sleepiness', 'Stupor', 'Drowsiness', 'Unconsciousness', 'Coma', 'Narcosis', 'Insensitive to pain', 'Lack of feeling', 'Absence of sensation', 'Mute', 'Unresponsive', 'Apathetic']"
Exaggerated the merits of (something) ,oversold,"['Puffed up', 'Exaggerated', 'Overblown', 'Grandiose', 'Magnified', 'Exorbitant', 'Bombastic', 'Grandly stated', 'Overstated', 'Exaggerated claim', 'Exaggerated for effect', 'Superficial', 'Insincere', 'Falsely impressive', 'Overestimated', 'Excessively elaborate', 'Superficiality', 'Empty exaggeration', 'False grandeur', 'Exaggerated for show']"
High-ranking official or officer with metal headgear? ,brass hat,[]
Standard ,norm,"['Routine', 'Habit', 'Practice', 'Custom', 'Ritual', 'Repetition', 'Repetitionist', 'Habitual', 'Conventional', 'Standard operating procedure', 'Everyday', 'Habitualized', 'Automated', 'Automated process', 'Formulaic', 'By tradition', 'Cultural practice', 'Established routine', 'Fixed pattern', 'Everyday life']"
"Considered, held as opinion ",deemed,"['Subjective', 'Personal', 'Biased', 'Opinionated', 'Subjective judgment', 'Individualistic', 'Subjective interpretation', 'Private view', 'Flavorful', 'Subjective assessment', 'Opinionated writer', 'Subjective experience', 'Personal belief', 'Individualistic approach', 'Subjective criteria', 'Opinion-based', 'Subjective approach', 'Personal viewpoint', 'Subjective evaluation', 'Opinionated conclusion']"
Greek diva ,maria callas,"['Sophia Loren', 'Audrey Hepburn', 'Josephine Baker', 'Helen Mirren', 'Bette Davis', 'Vanessa Paradis', 'Penelope Cruz', 'Catherine Zeta-Jones', 'Salma Hayek', 'Julia Roberts', 'Jennifer Aniston', 'Nicole Kidman', 'Charlize Theron', 'Eva Mendes', 'Katy Perry', 'Shakira', 'Mariah Carey', 'Lady Gaga', 'Jennifer Lopez', 'Demi Lovato']"
Brazilian tree or its wax ,carnauba,"['Copaiba', 'Brazil nut tree', 'Carapa', 'Ipe', 'Jacaranda', 'Curupira', 'Cumaru', 'Tabebuia', 'Brazilwood tree', 'Pilão tree', 'Pau-rosa', 'Pink cedar', 'Araucaria tree', 'Caboxy', 'Bertholletia excelsa', 'Astronium', 'Trichilia', 'Senna', 'Carapachi', 'Tabebuia granadifera']"
