CLUE,ANS,POS,FOUND IN
Arduous walk,trek,1,Challenging trek
Dexterity ,skill,2,Skillful
Old London prison ,newgate,2,Newgate Prison
Hence ,thus,2,"As a result, thus"
Russian city and ballet company ,kirov,3,"Kirov Ballet (formerly known as the Maryinsky Ballet, now based in Vagny after relocation from Leningrad)"
Fast boat; blade ,cutter,11,"Cutter (with a sharp, efficient design)"
High quality brandy,cognac,2,Fine cognac
Erase ,delete,7,Deleted
Not in fashion ,out,1,Outdated style
Small crude shelter ,hut,5,Makeshift hut
"Surgical thread, seam ",suture,1,Suture material
By the sea ,coastal,1,Coastal area
Breadwinner ,earner,1,Primary earner
Deliberate ,conscious,4,Consciously decided
Pigment from the cuttlefish,sepia,2,Sepia tint
Row; level ,tier,18,Tiered layout (if referring to multiple levels)
Spray can ,aerosol,1,Aerosolized paint
Effortless ,easy,6,Easy as can be
Female red deer,hind,1,Red hind
Allow fresh air to circulate ,ventilate,1,Ventilated
Feel indignation at ,resent,10,Crossly resentful
Hazard ,peril,2,Perilous
Parent's sisters (informal),aunties,4,Cousin aunties
Festivity ,gala,7,Gala event
Beelzebub ,satan,6,Satanic figure
