CLUE,ANS,POS
Soldier on guard ,sentry,17
Christian sacrament requiring pouring of water ,baptism,1
Privilege ,right,4
Definite,certain,2
Receptacle for household rubbish,dustbin,4
Small red fruit ,cherry,1
Hating foreigners,xenophobic,1
Place to which one is travelling ,destination,2
Friction or division in church organisation ,schism,1
One not eating or using animal products ,vegan,1
Look up to ,admire,1
Small city in Cambridgeshire ,ely,4
Likenesses or reflections ,images,1
Member of travelling people,nomad,1
Scottish family grouping ,clan,1
