CLUE,ANS,POS,FOUND IN
Eructate,burp,2,Burp - similar to belch but generally less forceful and not necessarily associated with excessive gas.
Island in Bristol channel ,lundy,9,"Lundy Island - Located off the Devon and Somerset border, this island is considered part of the wider Bristol Channel area due to its geographical proximity."
Act -- rotate ,turn,6,Turntable - A rotating platform that spins records during playback.
A calling as to priesthood ,vocation,8,Priestly vocation
Maritime ,nautical,10,"Nautical mile - Equivalent to one minute of latitude, it is used as a unit for measuring distance on nautical charts."
Shoot from concealment ,snipe,1,Sniper
Pot for ashes ,urn,13,Flame Furnace
Extreme deviation from the mean -- our tile (anag) ,outlier,3,Outlier - an observation point in data that markedly differs from other observations; it's far outside of the range for the rest of the dataset.
Part of the digestive system ,gut,15,Appendix - A blind-ended sac located at the beginning of the cecum; its function is debated but may play a role in immune responses or gut flora storage.
Body that revolves around or serves another ,satellite,2,"Satellite - An object that travels around a planet, moon, or star."
English or Dutch glazed earthenware,delft,1,"Delftware (Dutch) - Known for its distinctive blue and white designs, typically featuring clowns, shrimps, and other intricate patterns on ceramics."
