CLUE,ANS,POS
Wheedle - coax,cajole,8
Retail branches ,outlets,3
Obligation ,duty,1
Sporting missile,discus,2
Standard score for golfers ,par,4
Improved ,enhanced,1
Extremely earnest ,intense,14
Radio interference ,static,1
Genuine ,sincere,10
Unit of food energy ,calorie,1
Part of foot ,instep,7
Snooker stick ,cue,1
Dagger,stiletto,3
Porch along the outside of a building ,veranda,9
Weather ,climate,1
Specialised language,jargon,1
An aromatic herb ,marjoram,8
Massive ,huge,7
Skating venue ,rink,1
Letter,epistle,10
Happen again ,recur,2
First performance ,premiere,2
Capital city of Scotland ,edinburgh,1
