CLUE,ANS,POS
Tight group of like things,cluster,1
Likeness; statue ,image,2
Entire and complete ,intact,4
"Foretold, forecast ",predicted,2
"Choke, strangle",throttle,3
Saunters ,strolls,1
Greek letter E ,epsilon,1
Sea bird ,fulmar,19
Deadly ,lethal,2
Close acquaintance ,friend,16
"Devilment, impishness ",mischief,2
Part of country surrounded by foreign territory,enclave,1
Leave out ,omit,1
"Enormous, gigantic ",colossal,1
Imprison ,incarcerate,1
Fully developed ,mature,1
Pull out - quotation ,extract,1
