CLUE,ANS,POS
Small barrels as for beer ,kegs,1
Semi-precious variety of agate,onyx,7
Insect drawn to flame ,moth,1
Arch used in croquet ,hoop,1
Assembly for discussion ,conference,3
Feel; discernment ,sense,1
Standard of perfection ,ideal,1
"Fake, sham ",pseudo,4
Coniferous tree ,larch,20
Salt water expanse,ocean,1
Puts forward for consideration ,suggests,2
Uncontrollable muscle contractions ,spasms,1
Home made of blocks of snow ,igloo,1
Mischievous,puckish,9
Old cartoon sailor,popeye,1
Creator of ceramics ,potter,1
Precipitous ,steep,1
Hereditary molecule ,gene,3
String quartet instrument,cello,2
"TV's USS Enterprise, for instance ",starship,1
Unconscious state ,coma,1
System of words ,language,1
Falsehood ,untruth,9
