CLUE,ANS,POS
Rabbit coop ,hutch,2
Soundless ,silent,1
Get off a horse,dismount,1
Blades of windmill or propellers ,vanes,3
Resident ,citizen,6
Capital of South Carolina ,columbia,1
Morally right ,ethical,1
"Torn apart, severed ",sundered,2
Coterie ,clique,2
One of London's airports ,stansted,3
"'Rut, groove (6)' ",furrow,11
Cook slowly ,stew,2
Structure in an apiary,beehive,2
Beatrix Potter character ,peter rabbit,1
Unruffled ,composed,2
"Motives, rounds ",reasons,3
Foolish talk ,twaddle,7
Manicurist's establishment ,nail bar,5
Jealous emotion - deadly sin,envy,1
Baked dough ,pastry,5
