CLUE,ANS,POS
"Winner, title-holder ",champion,1
Transmission in a motor vehicle ,gearbox,3
Spacious ,roomy,1
Truncheon ,baton,2
Great ape ,chimpanzee,1
Central or most important part of something ,core,1
It signals the future ,harbinger,8
Very complicated,intricate,1
South African sun-dried meat ,biltong,1
Naval officer ,admiral,1
Killed violently ,slain,3
Clergyman ,curate,6
"Metallic element, Cd",cadmium,1
Scottish landowner ,laird,3
"Influenza, in short ",flu,1
Tongue-tied ,inarticulate,5
Superfluity ,excess,2
Old stringed instrument ,lute,1
Without pre-planning ,impromptu,2
Unlawful killer ,murderer,3
To the point ,direct,6
Garden of Eden ,paradise,1
Pain ,ache,3
Sufficient ,adequate,4
Line from the centre of a circle to the edge ,radius,1
Showing compassion ,caring,8
Foot digit ,toe,1
Ceremonious or official ,formal,1
Inexpensive ,cheap,5
