CLUE,ANS,POS,FOUND IN
Consume ,eat,1,Eating
Point directly overhead ,zenith,8,At its zenith
Capsule containing injection dose ,ampoule,13,Medication ampoule
Occurring in repeated series of events ,cyclic,1,Cyclical
Young eel ,elver,2,Elver (early stage after hatching)
University qualification,degree,1,Bachelor's degree
The emblem of the US is bald ,eagle,8,"Featherless eagle (referring to the Great Seal of the United States, not an actual bald emblem)"
Reflective surface,mirror,3,Mirror-like
Brush gently - coup,stroke,3,Delicate stroke
Large felines of forests ,tigers,8,"Bigcats (informal term including jaguars, lions, leopards, and tigers)"
Courage ,heart,12,Lionshearted (metaphorical)
Heartfelt,sincere,1,Sincere affection
Booth; prevaricate ,stall,5,Trickster stallholder
