CLUE,ANS,POS,FOUND IN
Small flat sweet cake ,biscuit,18,Biscotti biscuit (smaller version)
Eastern ,oriental,10,Oriental art
Die away ,dwindle,5,Dwindle down
Growing stronger ,thriving,8,Thriving growth
In the Land of Nod ,asleep,17,Asleep paradise
Soup spoon ,ladle,2,Broth ladle
Speak contemptuously or drink informally ,scoff,15,Scoffingly drinking
Use a razor ,shave,1,Shave closely
Brushwood ,scrub,16,"Woodland scrubber (a metaphorical play on words, not commonly used but could be understood as brushwood for cleaning purposes)"
Charity garden party ,fete,11,Garden fete for charity
Taking a picture of ,imaging,8,Imaging device user
Vote in ,elect,2,Make selection
Broken pieces ,fragments,13,Crumbling fragments
Such as is found in the Greek dish keftedes ,meatball,1,Meatball-like
Slight advantage,edge,1,Marginal edge
Expose ,unearth,20,Unearthed facts
Somewhat rough (sea),choppy,5,Choppy tides
