CLUE,ANS,POS
Showed amusement ,laughed,4
Plan of campaign ,strategy,1
Burrowing marsupial ,wombat,1
Frighten ,scare,10
Nocturnal bird ,owl,1
Braids ,plaits,11
Edible crustacean ,shrimp,3
Madagascan primate ,lemur,1
"Pest, pain in the neck ",nuisance,3
Fit,healthy,17
Conceivable,possible,1
European language ,czech,13
Conversion to a particular measurement system ,metrication,1
The Dog-star ,sirius,1
Company emblem ,logo,1
(Child's) rabbit ,bunny,1
Contagious skin infection,scabies,6
Bank guarantee of payment ,letter of credit,1
Make more attractive,enhance,1
"Benign, innocuous ",harmless,1
Printer's medium ,ink,1
Begin ,commence,3
Furthest inward ,inmost,1
"Different, diverse ",varied,1
Inflamed swelling ,boil,5
College administrator ,dean,1
Female relative ,aunt,1
Unsightly ,ugly,1
Reflecting glass ,mirror,1
Young sheep ,lamb,1
Overturn or unsettle ,upset,14
Financial gain ,income,3
Legal order ,writ,9
His wings melted when he flew too near the sun ,icarus,1
Small tube inserted into the body to give medication ,cannula,5
Covering of tree trunk,bark,1
Nerve cell ,neuron,1
First name of Disney's Duck ,donald,6
