CLUE,ANS,POS,FOUND IN
"'Despite, still (4,2)' ",even so,4,Even so retained
Temporary residence ,stay,10,Brief stay facility
Something left out ,omission,19,Oversight causing omission
"Harmful, unfavourable ",adverse,3,Adverse effect
Appealingly fanciful ,whimsical,1,Enchantingly whimsical
Put foot on a pest ,step,1,Step on an insect
Capable of stretching ,tensile,5,Extensile properties
Passage between seats ,aisle,7,Length of aisle
Mother-of-pearl ,nacre,1,Nacreous
Bring in from abroad ,import,1,Imported goods
Very tactful person ,diplomat,1,Diplomatic
Off-white ,cream,1,Creamy hue
Bird of prey ,raptor,3,Raptor enthusiast
Pyramids location ,giza,1,"Giza plateau, Egypt"
Sweet almond biscuit ,macaroon,6,"Macaroon (while not made from sweet almonds, macaroons are often associated with nuts)"
Short period of relief ,respite,1,Brief respite
Causing laughter ,comic,4,Comical
Standards on which to base judgment ,criteria,2,Professional standards: Criteria specific to a given profession that outline the expected level of performance and conduct.
