CLUE,ANS,POS
Former currency of Portugal,escudo,1
Miniature tree ,bonsai,2
"Way, course ",route,3
Japanese island ,okinawa,5
"Dirty, grimy ",grubby,3
"Eg, native of Teheran ",iranian,2
Chic ,stylish,3
Proprietors ,owners,1
"Shun, avoid ",eschew,2
US witch-trial town ,salem,1
Female singing voice ,alto,2
Plant with small blue flowers ,forget-me-not,2
Elongated fish ,eel,3
Lazy ,idle,1
Cruel dictator ,despot,2
Greek master of geometry ,euclid,1
Duct that carries urine ,ureter,1
Old name for Spanish peninsula ,iberia,1
Viral disease causing paralysis ,polio,1
Brazilian dance ,samba,1
Sudden sharp decrease in quantity ,dip,6
