CLUE,ANS,POS,FOUND IN
Talon ,claw,1,Claw-like grip
A thieving bird ,magpie,13,Mischievous magpie (magpie are known for their thieving behavior)
Grown-up tadpole ,frog,2,Froglet
Young horse ,colt,2,"Colt (for males, usually under three years old)"
Showy flower ,orchid,10,Opulent orchid
Leading performer,star,1,Star player
Genuflect,kneel,5,Kneel respectfully
Cut (meat) ,carve,3,Carved
Colour for aristocracy or emperors ,purple,6,Regal purple (historically associated with Roman and Byzantine empires)
Group of states ruled by one ,empire,17,Dominion territories (historical reference in relation to the British Empire)
Mrs Shakespeare ,anne hathaway,11,William Shakespeare's wife (Anne Hathaway)
Outshine ,excel,18,Set apart with excellence
Flock,herd,7,Herding fowl
Night-flying insect ,moth,1,Moth (common nocturnal moths)
Fine earthenware ,porcelain,15,Porcelain alternative
Put into hock ,pawn,2,Pawned
Cosmos ,universe,14,Universe-scaled
Cordial,warm,3,Warmhearted
