CLUE,ANS,POS
Storyline or piece of land ,plot,1
Stadium,arena,1
Indicator on score of musical rhythm ,time signature,7
Adult swine ,hog,3
Odd - nuts,eccentric,4
Travelled on foot ,walked,1
Taken without the owner's consent ,stolen,1
"'Sadness, grief (6)' ",sorrow,1
(Room for) gathering of distinguished people ,salon,2
Stuck and immobilized ,jammed,3
Flaming ,blazing,1
Small hand tool used for gripping ,tweezers,2
"Informally, an eccentric or very strange person ",weirdo,3
Having put down roots,settled,7
Having no function ,useless,2
Son or daughter ,child,3
Secured - buckled ,fastened,2
Knave ,rogue,1
(Make) a rattling noise ,clatter,3
Pushing up the daisies ,dead,1
Peg for joining wood ,dowel,5
Church bench ,pew,1
Motor vehicles for heavy goods ,lorries,2
Strong cord ,rope,1
