CLUE,ANS,POS
Work done on furniture,upholstery,4
Flowerless plants with feathery green leaves  ,ferns,1
Rational motive ,reason,1
Serious ,grave,1
Notable ,famous,3
Modifier of a noun ,adjective,1
Indian currency ,rupee,1
Medicinal extract in a solution of alcohol,tincture,1
Physical aggression ,violence,5
Anger ,ire,3
Minute particle ,atom,12
Boundless ,unlimited,4
Boast ,brag,1
Next to ,beside,2
Monetary unit in S Africa ,rand,1
The science of the earth's crust ,geology,1
Confined space for animals ,cage,2
Answerable ,liable,4
"'Preliminary test of how something works (5,3)' ",trial run,15
Period of time,era,1
Perform without any preparation,wing it,6
"Follow-up film, book etc",sequel,1
Small pill or lozenge ,tablet,2
Improbable ,unlikely,1
Sound loudly ,blare,1
Going out with ,dating,1
Distance from the surface to the bottom ,depth,1
Frequented by a ghost ,haunted,1
Very early calculator ,abacus,1
Nobleman ,marquis,2
Area of endeavour ,arena,8
Very surprising ,startling,20
Fold covering around something ,wrap,7
"Useless, producing no results ",futile,1
Require ,need,2
The onset of darkness ,nightfall,4
Container for keeping drinks hot ,thermos flask,1
Period or stage in a process ,phase,1
Areas,regions,1
Put off ,delay,2
