CLUE,ANS,POS,FOUND IN
"- - Fitzgerald, singer ",ella,5,Ella Fitzgerald (Most notable singer associated with 'Fitzgerald')
Woven container ,basket,9,Wicker basket lining
Easy gallop,canter,1,"Canter (a controlled, three-beat gait that is one level slower than a full gallop)"
Warlike ,bellicose,1,Bellicose: Demonstrating aggression and willingness to fight.
Leapt (anag),pleat,8,Pleatel
Data manipulation program ,spreadsheet,1,"Spreadsheet software (e.g., Microsoft Excel, Google Sheets)"
Bishops' dioceses ,sees,15,Episcopal sees (plural of see)
Go up suddenly ,rocket,15,Skyrocket
Saturate; precipitous ,steep,6,Cascade - A steep fall of water from a height; also used metaphemorically for anything that occurs rapidly and in large amounts.
Scottish monster ,nessie,1,"Loch Ness Monster (""Nessie"")"
Absence of sound ,silence,9,Peaceful silence
Chocolate substitute ,carob,1,Carob powder
Occasion ,event,6,Commemorative event
