CLUE,ANS,POS,FOUND IN
Giraffe-like animal ,okapi,8,"Okapi (a close relative of the giraffe, though not quite ""giraffe-like"")"
Indian dish ,samosa,11,Samosas
Trained Japanese hostess -- his age (anag) ,geisha,3,Apprentice geisha
King Richard 1st had nickname like Latin hero ,lionheart,2,Lionhearted (combining the king's name with the lion symbolizing bravery and Roman virtues)
Legal possessor ,owner,5,Owner-at-law
Terror ,panic,15,Panic-stricken (related to reactions to acts of terror)
Rite ,ceremony,1,Traditional ceremony
Hitler's title ,f,1,Führer
Yellow fruit ,banana,2,"Banana (when slightly yellow, but not fully ripe)"
Unfettered,free,2,Freed
Royal personage,prince,4,Prince/Princess
A noisy American snake ,rattler,10,Rambunctious rattler
Bony framework ,skeleton,8,Endoskeleton
Sandbank ,bar,2,Bank barrier
Golf ball support ,tee,3,Tee-marker help
