CLUE,ANS,POS
Professional misconduct,malpractice,1
Stuck-up ,snobbish,2
Ancient two-handled jar ,amphora,1
One wearing clothing typical of the opposite sex ,cross-dresser,1
State of being held prisoner ,captivity,1
Area of land feeding one river ,drainage basin,2
Brilliant - dazzling,scintillating,15
Underneath ,below,3
Nothingness ,nullity,4
Dessert ,pudding,2
Group of things that belong together ,set,1
World War I battlefield,ypres,3
Small leaflet ,pamphlet,1
Afflication ,malady,2
Gesture expressing unconcern,shrug,1
Belgian city,antwerp,1
Sports or entertainment venue ,arena,2
