CLUE,ANS,POS
Anger ,ire,3
Orderly and clean ,neat,1
Engulfing swirl of e.g. whirlpool ,vortex,1
"Practical, no-nonsense",down-to-earth,2
Asian desert ,gobi,1
Full of praise ,laudatory,5
Characterized by intense feeling ,emotional,12
Asian country ,vietnam,5
Gun ,firearm,2
Brief light fall of rain ,shower,4
Sofa bed ,futon,1
House or hotel visitors ,guests,1
Take over by force,usurp,14
Put right ,amend,5
Hospital-like - strictly objective,clinical,1
This job does not require all of the working week ,part-time,1
Gambling house ,casino,1
"Upper class, nobility ",aristocracy,1
