CLUE,ANS,POS
Military signal to wake up ,reveille,1
Slope ,incline,1
The Devil ,satan,2
UK capital ,london,1
Day nursery ,creche,10
Heavenly being ,angel,1
Lessen the gravity of ,mitigate,6
17th century English poet and dramatist ,dryden,5
Embarrassed ,abashed,6
Excite,arouse,10
Traditionally the author of the third Gospel ,luke,1
Landed property ,estate,1
Sofa ,settee,2
Brains -- news ,intelligence,20
Wind-borne toy ,kite,1
Fabric from fine goat's wool ,cashmere,1
Mistake ,error,1
Material of pre-vinyl rpm records,shellac,1
Greek wine ,retsina,1
Not satisfactory,unacceptable,2
Elderly Russian woman ,babushka,1
Done carelessly ,slapdash,5
Period of uncertainty,limbo,7
Bleach ,whiten,1
First citizen of a city ,lord mayor,6
Person in charge of convent ,abbess,1
One's position or stance ,attitude,3
Powerful deep-chested dogs ,mastiffs,1
