CLUE,ANS,POS,FOUND IN
German tank ,panzer,1,Panzerwagen
"Irish organisation for women, initially ",ica,1,"Sinn Féin is a political party in Ireland, and Cumann Cinn Féin (also known as Cumman Ceanndála) was the women's section of the party"
Jump on one foot ,hop,1,One-legged hop
Lounge ,recline,4,Recliner
A group of six voices ,sextet,5,Vocal sextet
Small lie ,fib,2,Little fib
Fail to win ,lose,6,Lose in the end
In a drowsy or semi-conscious state ,comatose,7,Comatose (extreme)
One of the biblical twelve ,apostle,1,He was one of Jesus' twelve apostles and is considered a foundational figure in the Christian church.
Curved oriental sabre ,scimitar,4,Wavy scimitar
Traditional Christmas stage show with Dame ,pantomime,1,Pantomime performance
Friendly - type ,kind,9,Kindly disposed
Firm - building for animals ,stable,11,Stables
Magnitude ,size,14,Colossal size
