CLUE,ANS,POS
Plenty,ample,2
Assistance ,aid,1
Language widespread in East Africa ,swahili,1
The 50th state ,hawaii,9
Rush - a job for life?,career,19
Clean and orderly ,tidy,3
"Southern African kingdom, capital Mbabane ",swaziland,1
West African country ,ghana,7
Performer's skill,artistry,1
Pirates' flag ,jolly roger,1
Gifts ,presents,1
Brought back to original condition ,restored,8
River in central Italy ,arno,1
Comparable ,similar,8
Toothed wheel driven by a chain ,sprocket,1
Musical drama ,opera,6
Seat on horse or bike,saddle,1
Heavenly being ,angel,1
Very unkind,cruel,1
