CLUE,ANS,POS
Testify ,bear witness,3
Detested ,loathed,1
Rectangular column projecting from a wall ,pilaster,1
Hurry ,hasten,6
Extraterrestrials ,aliens,1
Not sympathetic ,uncaring,7
"Wriggle, writhe ",squirm,3
Flying mammals ,bats,1
Army officer ,major,5
Vigorous and effective,dynamic,3
Extreme fear ,terror,1
Deer meat ,venison,2
Appearing at intervals ,periodic,1
Work of art intended to be understood symbolically,allegory,1
"Happen, take place ",occur,1
The study of celestial bodies ,astronomy,1
Earlier ,prior,4
