CLUE,ANS,POS
Archer ,bowman,1
Ill fame ,notoriety,2
Laughable ,preposterous,9
Look after ,nurse,8
"Max --, German composer ",reger,15
Reaching a destination ,arriving,1
Finish ,conclude,2
Relating to more than one branch of study ,interdisciplinary,2
Army officer ,colonel,2
Terrace ,patio,3
"Ferocious, savage",fierce,18
Intensely dislike ,detest,2
Front part of a ship ,bow,1
More acute ,sharper,1
Risk ,danger,1
Elevation above sea-level ,altitude,1
Horse rider ,jockey,1
Muscular spasms and pains ,cramps,1
Disobey ,defy,1
Covered walkway in religious establishment,cloister,11
Foot movement ,step,1
Oscar ,academy award,1
Legitimate ,lawful,2
Combat,fight,2
