CLUE,ANS,POS,FOUND IN
Conforming to the accepted beliefs of a religion ,orthodox,2,Orthodoxy-follower
Warplane ,fighter,1,Fighter jet
"Fingers, toes and numbers",digits,3,Digits - A term for both fingers and toes when discussing counting.
Combat ,war,2,Warfare
"Rescue (of) ship, etc",salvage,1,Salvage operation
Bare ,nude,15,Nude (aesthetic or artistic context)
"Leonhard --, C18 Swiss mathematician ",euler,1,Euler (Johann Bernoulli's son-in-law; not correct but close)
Treatment using massage or exercise (colloq.) ,physio,2,Physiotherapy
Prefix denoting life ,bio,1,Biology
Corrode,eat,9,Weathered artifact
Small island ,eyot,8,Eyot (British term for small island in a river)
To do with or like horses ,equine,2,Equine-related
