CLUE,ANS,POS,FOUND IN
Leaves carved on a Corinthian column ,acanthus,3,Acanthus leaf designs
Meal ,dinner,1,Dinner plate
Pisa has a leaning one ,tower,1,Tilted tower
Deploy ,use,13,Ready for use
"Incompetent, clumsy",inept,3,Ineptly performed
Something with independent existence ,entity,3,Independent entity
"'One behind the other, as on a bicycle (2,6)' ",in tandem,15,Tracked in tandem
Dispossess ,deprive,3,Deprived of property
"Piece of wood, potato, or silicon",chip,3,Chip (as in silicon chip)
Pudding ,dessert,3,Dessert base
(Food) consumer ,eater,3,Gourmet eater
Annual ,yearly,1,Yearly event
Eyeglass ,monocle,5,Monocle (if referring to a single eyepiece)
Intoxicating drink ,alcohol,1,Alcoholic beverage
Temporary discharges of workers ,layoffs,2,Short-term layoffs
"Marlon --, US actor ",brando,8,Method acting (Marlon Brando was known for this)
Great sea ,ocean,1,Vast ocean
Absolutely horizontal ,level,3,Levelled
Allotted portion ,share,5,Assigned share
Food intake regime ,diet,1,Dietary regimen
Lack of rainfall,drought,1,Drought-stricken
Set off,trigger,1,Triggered
Middle Eastern market ,bazaar,1,Spice bazaar
