CLUE,ANS,POS
1940s' jazz characterised by virtuosity ,bebop,1
Disclose or uncover ,reveal,1
Peak ,summit,2
Publicise ,advertise,1
Embankment that should prevent flooding ,levee,2
Over to the other side,across,1
Normal; innate,natural,2
"Calm, pacify, appease ",placate,7
"Obstinate, tenacious ",stubborn,7
Circumvent ,evade,3
Barbaric,cruel,10
"Obligations, responsibilities ",duties,1
Kayak-like boat,canoe,1
One's university,alma mater,1
Narrow valley with a stream ,glen,3
Foe ,enemy,1
