CLUE,ANS,POS,FOUND IN
Old collectable item,antique,16,Antique trinket
Fully grown ,mature,1,Matured
More often than not ,mostly,9,Mostly the case
Peter Sellers' Pink Panther inspector ,clouseau,9,"Quick-thinking, fast-talking Clouseau"
Castor and Pollux ,gemini,1,Gemini twins
Loose ,untie,3,Untied
Sheepdog ,collie,13,Border collie (popular breed used for sheepherding)
Have a foul smell ,reek,8,Loathsome reek
Avidly enthusiastic ,zealous,4,Zealously
Relative ,aunt,13,Aunt or uncle-like
