CLUE,ANS,POS,FOUND IN
Daydream ,fantasy,1,Fantasyland
Magnitude ,size,3,Massive size
Man or beast ,animal,2,Animalistic
Shield from danger ,protect,1,Protected
Remains of a prehistoric plant or animal ,fossil,1,Fossils
Car ,motor,2,Motorcar
Copier of (handwritten) documents,scribe,12,Transcribed version
What makes us different,gene,10,Physical appearance: Our genetic traits contribute to our distinctive features that differentiate us from others.
"American state, capital Juneau ",alaska,1,Alaska - Juneau
The Cape of Good - ,hope,1,Hopeful start
Great American inventor ,edison,1,Thomas Edison
