CLUE,ANS,POS
Former currency of Portugal,escudo,1
State of central US ,nebraska,8
"Way, course ",route,14
Japanese island ,okinawa,2
Darkness ,night,1
Card game - pontoon - couple,bridge,1
Elastic item,rubber band,14
US witch-trial town ,salem,1
Female singing voice ,alto,2
Elongated fish ,eel,11
African country -- I am a bin (anag) ,namibia,8
Lazy ,idle,17
Greek master of geometry ,euclid,3
Vigour ,energy,3
Viral disease causing paralysis ,polio,7
Sudden rush,surge,8
Brazilian dance ,samba,1
Sudden sharp decrease in quantity ,dip,4
