CLUE,ANS,POS,FOUND IN
Defeat by superior ingenuity ,outwit,2,Outwitted
Reverie ,dream,1,Daydream
Be in accord,agree,1,Agreement
"Virgil -, US composer ",thomson,1,Virgil Thomson
Salad plant,cress,19,Watercress
Rush of water - eye problem,cataract,1,Cataracts
Direction of the rising sun ,east,1,Eastward
Peas grow in one ,pod,2,Pea pods
Seed-bearing spike ,ear,18,Seed-bearing structure
South American river ,amazon,1,Amazon River
Fragrance,aroma,1,Aromatic
Appetizers in an Italian meal ,antipasto,9,Antipasto platter
