CLUE,ANS,POS
Caviar fish ,sturgeon,1
Creating a collection ,compiling,3
Tunes ,melodies,1
Inconsequential ,minor,2
Large and scholarly book ,tome,1
Small outpost of families ,settlement,8
Protects ,shields,1
Tracker ,stalker,1
German cherry brandy ,kirsch,1
Bringing into existence ,creating,1
Cricket team? ,eleven,3
Card game ,canasta,10
Furious ,irate,5
Spanish fizz,cava,1
Sorrow ,grief,1
Road surface material of tar and stone ,tarmac,9
At some time afterwards ,later,1
Wall paintings ,frescoes,2
It's used by a conductor and a policeman ,baton,1
Skinflint ,miser,1
Big brass instrument ,tuba,3
'Don Juan' poet ,byron,2
"Yields to pressure, capitulates ",succumbs,9
Academic essay,thesis,1
Prolonged; nagging ,persistent,7
Rules observed in polite society,etiquette,1
Increase speed ,accelerate,1
Happiness ,delight,5
