CLUE,ANS,POS
Occupant ,resident,2
Nevertheless ,even so,7
"Extinguish, wipe out ",eradicate,1
'Many are called but few are ...' ,chosen,1
Young geese ,goslings,1
Air-filled bag ,balloon,3
Trainee officer ,cadet,4
Remove material from a riverbed ,dredge,3
Roman goddess ,venus,5
Ovine animal-keeper ,shepherd,1
1979 US film about Vietnam,apocalypse now,1
Richard . . . . . . composer of 'The Flying Dutchman' and 'Lohengrin' ,wagner,1
People of high birth,gentry,4
"Call on, go to see ",visit,4
