CLUE,ANS,POS,FOUND IN
Consume ,eat,1,Eating
Country dweller,villager,14,Rustic villager
Feature supplementing standard model ,add-on,1,Add-on component
Capsule containing injection dose ,ampoule,4,Pre-filled ampoule
Occurring in repeated series of events ,cyclic,1,Cyclical
Dirt on a liquid's surface ,scum,34,Soil scum (thin layer or film of soil atop a liquid surface)
Young eel ,elver,2,Elver (specifically referring to young Atlantic eels)
Facilitate ,ease,15,Advocate for ease
The emblem of the US is bald ,eagle,5,Eagle centered
Brush gently - coup,stroke,1,Soft stroke
Courage ,heart,11,Courageous heart
Heartfelt,sincere,1,Sincere affection
Booth; prevaricate ,stall,5,Misleading stall
