CLUE,ANS,POS
European capital ,prague,10
Particles of stone/sand ,grit,5
Wide-flared trousers ,bell-bottoms,1
Jousting weapon ,lance,1
Moving slowly and unsteadily,lurching,1
Not moving ,static,15
Small lie ,fib,2
"Of food, bought for eating elsewhere (4-4) ",takeaway,1
One of the biblical twelve ,apostle,2
Comedies of extravagant humour ,farces,1
"Acquire, procure",obtain,1
"John, Paul, George and Ringo ",beatles,1
Put an end to; ruin ,destroy,13
Firm - building for animals ,stable,3
