CLUE,ANS,POS,FOUND IN
Quarried,mined,1,Mined from the ground
Pixie (able to cobble?) ,elf,6,Self-fashioned
Mollycoddle ,pamper,5,Indulged in pampering
It always has a cause ,effect,19,Influenced or effected (as a result of causes)
Playing card,ace,3,Ace card
Mass of cells formed by bees ,honeycomb,9,Waxen assembly (referring to the structure of honeycomb cells)
City by the Great Pyramid ,giza,1,"Memphis (the ancient capital near Giza, but not directly ""by"" the Great Pyramid)"
Greek goddess of peace ,irene,2,Symbolism: Eirene's most recognizable symbols are doves (symbolizing love and fidelity) and olive branches (signifying reconcimation and peace)
Ballet skirt ,tutu,1,Tutu skirt
Last ,final,1,Final day
Norm ,par,12,Reference point (in the context of comparative analysis)
Wander about,roam,1,Roaming
Association football ,soccer,1,Soccer enthusiast
Port in Brittany ,brest,1,Dock at Brest
Funeral lament ,dirge,19,Sorrowful dirge (related to funeral laments)
