CLUE,ANS,POS,FOUND IN
Rabbit coop ,hutch,1,"Hutch - A small shelter for rabbits, often referred to as a ""rabbit hutch."""
Get off a horse,dismount,1,"Disembark - To get off (a vehicle or ship) after dismounting from it, such as getting off a horse."
Magical being ,fairy,1,Fairy - A small magical creature often depicted with wings and living in fairy tales or folklore.
Road tax ,toll,4,TollRoads
Consumed ,ate,1,Appetizer - A small dish served before a main course to stimulate appetite.
"Torn apart, severed ",sundered,9,"Sundered - put asunder, separate completely"
General pardon - international charity ,amnesty,1,Amnesty International
"A lively sociable person, always up front ",extrovert,1,Extroverted
Ever ,always,17,Ever-present (something always seen or felt)
Famous diarist ,pepys,2,Samuel Pepys
Salad item ,celery,13,"Celery ribs - Crunchy, watery stalks of celery often sliced to add texture in mixed green salads."
One of London's airports ,stansted,3,Stansted Airport (STN)
Full and complete ,entire,2,Entirely - in every aspect or part; completely
Cook slowly ,stew,2,"Stew - Slow-cooked dish with small pieces of food such as meat and vegetables, which are usually covered when they cook."
Structure in an apiary,beehive,20,Varroa mite control - Methods and treatments employed in apiaries to prevent infestation of this destructive pest that affects the structure of beehives.
Builder's safety wear ,hard hat,1,Hard Hat - A protective helmet used by builders and construction workers to prevent head injuries from falling objects or debris.
Manicurist's establishment ,nail bar,6,Hair & Nail Barbershop
Baked dough ,pastry,6,Danish pastry
Supplicate,pray,1,Prayerful
