CLUE,ANS,POS,FOUND IN
Jump on one foot ,hop,6,Hopping
3-D model of a scene ,diorama,12,Miniature diorama
Hot drink ,cocoa,5,Heated cocoa
Of flowers ,floral,4,Floral arrangement
Widely known and esteemed ,noted,20,Noted authorities
Traditional Christmas stage show with Dame ,pantomime,6,Victorian Christmas pantomime star role
Transporting vehicle ,van,11,Messenger van
"Acquire, procure",obtain,2,Obtain goods or property
"John, Paul, George and Ringo ",beatles,1,The Beatles
Friendly - type ,kind,6,Kind-hearted
"Haphazard, hit or miss ",random,10,Randomized outcome
Magnitude ,size,2,Grandiose size
"Smear, daub ",smudge,5,Smudged mark
Interior ,internal,12,Internally carved (referring to intricate details within a room's design)
Not awake ,asleep,5,Asleep-tired
Christopher Robin's bear ,pooh,1,Winnie-the-Pooh
Head of corn ,ear,5,Prime ear
Of system of land-holding in Middle Ages ,feudal,1,Feudalism
Reptile with shell,tortoise,11,Shell-backed tortoise
Evil in nature ,malign,4,Malignant
Abstaining from alcohol ,teetotal,4,Teetotaler
Fur trimming on royal robes ,ermine,1,Ermine fur lining
