CLUE,ANS,POS
Study of birds ,ornithology,1
Force that produces rotation ,torque,1
"Brilliant, fantastic ",superb,3
"Ex-Portuguese colony annexed by Indonesia, independent since 2002",east timor,1
Hindu ascetic ,yogi,3
Restore to required state ,reset,6
Night birds ,owls,2
Affronted ,insulted,2
Plaything ,toy,1
Circular frame with spokes,wheel,1
Rigorous ,stringent,1
Mathematical array ,matrix,2
Style of hat ,fedora,1
Evil-smelling animal of N America ,skunk,1
Money bag ,purse,2
More potent,stronger,1
Smuggled goods,contraband,1
Leniency and compassion towards offenders ,clemency,9
"Goal, aim ",objective,1
Barrier of stakes and timbers ,stockade,3
Not harsh or violent ,gentle,1
Made bigger ,enlarged,2
"Sinew, maybe 3 ",tendon,3
Slaughterhouse ,abattoir,2
A brief or casual look ,glance,1
Period of rule ,reign,1
