CLUE,ANS,POS,FOUND IN
Fend off ,avert,16,"Avert (often used with the context of prevention, especially regarding bad outcomes)"
Horse's gait - extreme leftist,trot,9,Nonstandard horse trot directionally skewed leftward
It used to be call a love-apple ,tomato,8,Physalis philadelphica (wild tomato with fruit resembling small apples)
Outlook,prospect,2,Prospective gains
Tart ,acid,2,Acidic flavor
Substance sealed in container and released as fine spray ,aerosol,1,Aerosol can
Just coming into existence ,nascent,2,In the nascent stage
Light-hearted friendly talk ,banter,1,Casual banter
An exclamation of excitement or enthusiasm ,yippee,2,Yippee!
Yield - gain,profit,4,Profit margin expansion
Carve ,engrave,1,Engraved
Go ahead; element ,lead,3,Take the lead
Repulsive ,ugly,15,Ugly (in the context of unattractiveness)
Cold dish ,salad,1,Chilled salad
Towards one's house ,homewards,6,Commute homewards
Onlookers ,audience,5,Audiences
Fascinated ,interested,11,Eagerly interested
Belgian surreal painter ,magritte,1,René Magritte
Garden pest ,aphid,1,Aphids
Thread or tall tale ,yarn,3,Spin (as in spinning a yarn)
Weirdly funny ,wacky,17,Wacky comedian style
Harvests ,crops,1,Gathering crops
Charged particle,ion,1,Ionized
