CLUE,ANS,POS,FOUND IN
"Large, mainly Mongolian, desert",gobi,1,Gobi Desert
Play music in the street ,busk,5,Busker
Overnight do for young girls ,slumber party,3,Host a slumber party
"Back, sanction ",endorse,2,Endorsement
Catch the breath ,gasp,2,Gasping for air
Fan out in ornamental water jet ,fountain,1,Fountain spray
Make stronger and hardier ,toughen,3,Toughen up
"Tear, rend ",rip,2,Ripen
Permit,allow,12,Allowed
Smelly animal ,polecat,17,European polecat
"Fidel . . . . . ., Cuban chief ",castro,1,Fidel Castro
