CLUE,ANS,POS,FOUND IN
Author of Lady Chatterley's Lover,lawrence,2,"Lawrence of Arabia (false, but a famous historical figure with the same last name)"
Slender tower with balconies ,minaret,18,Minaret with balconies
Rush - a job for life?,career,1,Lifelong career
Ancient Greek with weak heel ,achilles,1,Achilles (from the legendary weakness in his heel)
Make uncomfortable,embarrass,5,Embarrassing
Brought back to original condition ,restored,1,Restored to mint condition
Proverbially gluttonous seabird ,cormorant,5,Cormorant (feeds voraciously on fish and other aquatic creatures)
Determined attempt ,effort,12,Do-or-die effort
Earth (Latin) ,terra,1,Terra firma (solid earth)
Toothed wheel driven by a chain ,sprocket,2,Chain-driven sprocket
Miraculous food ,manna,1,Manna from heaven
