CLUE,ANS,POS,FOUND IN
Beautiful insect and swimming stroke ,butterfly,11,Effortless butterfly stroke
Cultivated plot of ground ,garden,11,Garden patch
Welsh dog ,corgi,4,"Pembroke Welsh Corgi (not a ""dog"" per se, but associated with Wales)"
Particular feature ,aspect,3,Notable aspect
Waterway ,canal,7,Canal-like course
Monkey - factor in blood ,rhesus,4,Rhesus monkey blood study
Bring to a close ,end,9,End in sight
"Go regularly to, church perhaps ",attend,1,Devout attendee
Decay in teeth ,caries,3,Dental caries
Historic area of France once part of Aquitaine ,poitou,2,Poitou-Charentes
Rainwater channel,gutter,8,Gutter system
"Hat, for a country-and-western singer perhaps",stetson,2,Stetsons
Outline drawing ,sketch,1,"Sketching the basic outline: Create a simple, clear sketch that captures the overall shape and proportions of the subject."
Drink ,beverage,11,Quality beverage
Old Ford model - Italian island,capri,6,Capri's vintage charm
Power of creative thought ,imagination,15,Mind's eye (metaphor for imagination)
End of day ,sunset,4,Sunset time
