CLUE,ANS,POS
Roman Emperor notorious for vice and luxury ,nero,1
Clown,jester,2
Get away ,escape,1
"Rudyard --, author ",kipling,1
Sorcerer ,magician,1
Thrilled ,excited,2
Casual shoes ,sneakers,1
Burrowing marsupial ,wombat,1
Prison formerly standing on site of the Old Bailey ,newgate,1
The world considered as a linked community ,global village,1
Naval asset ,warship,1
Lapwing-like bird ,plover,1
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,5
Small falcon ,merlin,1
Dramatic prince of Denmark ,hamlet,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
"Pablo -, Spanish painter/sculptor ",picasso,1
Sudden impulse ,whim,4
