CLUE,ANS,POS,FOUND IN
Easy gallop,canter,3,Canter - A three-beat gait that is faster than a trot but slower than a gallop.
Data manipulation program ,spreadsheet,1,Spreadsheet software
Go up suddenly ,rocket,19,Skyrocket
Become limp,droop,4,Drooping
Nabokov heroine ,lolita,2,"Lolita (From ""Lolita"")"
Saturate; precipitous ,steep,12,"Hydration (the process of adding water to something, particularly through soaking, steeping, or absorbing)"
Scottish monster ,nessie,1,Nessie (shortened form for Loch Ness Monster)
(Of a nose) curved ,aquiline,8,Aquiline (historically refers to a curved or Roman-style nose)
"Bend, distort ",twist,2,Twist - to turn or rotate something in a spiral shape
River at Jarrow ,tyne,1,"Tyne - A major river flowing through Jarrow, on its way to meet the North Sea."
Simple hymn tune ,chorale,1,"Chorale - A simple, harmonized melody often associated with Lutheran church music."
Pun ,play on words,3,Play on words (a humorous manipulation of language for comedic effect)
First lady ,eve,1,Eleanor Roosevelt
A kind of fish zoo ,aquarium,1,Aquarium Fish
"... the Terrible, 16th-century ruler of Russia ",ivan,1,Ivan IV (Ivan the Terrible)
Vend ,sell,2,Seller
Winter hanger ,icicle,8,Icicle holder
Maggot ,grub,18,"Scavenger beetle - While their larvae (grubs) share some characteristics with maggots, they are distinctly different insects belonging to the family Scarabaeidae."
Relating to citizens ,civic,16,Civic engagement
