CLUE,ANS,POS
Raise ,elevate,2
Describes poorly groomed hair ,shaggy,1
Green public spaces ,gardens,2
"Beginning, start ",outset,4
Discolorations or dirt marks ,stains,1
Greek god of the sea ,poseidon,1
TV motoring programme ,top gear,1
Leave quickly and secretly ,abscond,9
Concerning home affairs ,domestic,2
Falsehood ,lie,1
Snatch,grab,2
Unreal ,illusory,10
In these times ,nowadays,20
Fermented grape juice ,wine,1
Young woman entering society ,debutante,1
Escape ,flight,7
Birds of prey ,eagles,4
Unwell ,ill,1
Annoy continually ,harass,1
Hitchcock film ,the birds,5
Lends a hand ,assists,1
Foe,enemy,1
